@relation training_data_20190313_including_non_bisulfite

@attribute pos1_A numeric
@attribute pos1_C numeric
@attribute pos1_T numeric
@attribute pos1_G numeric
@attribute pos2_A numeric
@attribute pos2_C numeric
@attribute pos2_T numeric
@attribute pos2_G numeric
@attribute pos3_A numeric
@attribute pos3_C numeric
@attribute pos3_T numeric
@attribute pos3_G numeric
@attribute pos4_A numeric
@attribute pos4_C numeric
@attribute pos4_T numeric
@attribute pos4_G numeric
@attribute pos8_A numeric
@attribute pos8_C numeric
@attribute pos8_T numeric
@attribute pos8_G numeric
@attribute pos9_A numeric
@attribute pos9_C numeric
@attribute pos9_T numeric
@attribute pos9_G numeric
@attribute pos10_A numeric
@attribute pos10_C numeric
@attribute pos10_T numeric
@attribute pos10_G numeric
@attribute pos11_A numeric
@attribute pos11_C numeric
@attribute pos11_T numeric
@attribute pos11_G numeric
@attribute pos12_A numeric
@attribute pos12_C numeric
@attribute pos12_T numeric
@attribute pos12_G numeric
@attribute pos20_A numeric
@attribute pos20_C numeric
@attribute pos20_T numeric
@attribute pos20_G numeric
@attribute pos30_A numeric
@attribute pos30_C numeric
@attribute pos30_T numeric
@attribute pos30_G numeric
@attribute method {Swift,6N_PBAT,6N_sc,9N_sc,WGBS,RRBS,scNOME,UMI_RRBS,9N_PBAT,Amplicon,NOMEseq,Truseq,RNA,ChIP,ATAC,WGS}

@data
25,20,27,26,27,19,25,26,29,20,24,25,33,17,21,26,30,18,21,29,1,95,1,1,96,0,0,1,1,0,1,97,1,0,96,1,22,1,55,20,23,3,54,18,RRBS
25,31,18,25,27,32,21,19,25,34,19,19,26,32,18,22,32,16,40,10,50,20,17,10,31,39,17,11,49,24,16,10,26,39,18,15,26,18,42,11,31,25,25,17,9N_sc
14,0,41,43,30,0,39,29,25,0,43,31,12,0,57,30,31,0,38,30,21,0,51,27,31,0,34,33,43,0,35,20,27,0,42,29,34,0,54,11,22,0,57,19,Amplicon
17,0,38,44,31,0,29,39,22,0,38,38,24,0,42,32,26,0,40,32,26,0,51,22,22,0,42,35,43,0,37,19,30,0,37,31,22,0,55,21,21,1,59,17,Amplicon
25,30,23,21,27,31,23,17,25,32,23,18,29,28,20,21,40,17,31,10,47,18,23,11,39,26,22,11,45,20,22,10,36,26,23,12,35,18,34,11,36,20,28,13,scNOME
16,0,35,48,32,0,29,38,26,0,37,35,28,0,37,33,27,0,38,33,27,0,50,22,21,0,37,40,40,0,38,21,29,0,35,34,28,0,45,25,16,0,56,26,Amplicon
40,24,26,8,41,22,29,5,45,24,26,4,45,21,28,4,40,30,25,3,34,33,28,3,51,20,25,2,51,18,26,2,50,18,27,2,46,21,29,2,46,20,30,2,9N_PBAT
24,31,18,26,26,32,20,20,24,34,20,20,25,32,17,24,30,17,40,11,50,21,16,11,29,41,16,11,48,24,14,11,24,41,17,16,24,19,42,12,29,26,24,19,9N_sc
25,20,27,26,28,20,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,3,56,17,RRBS
25,20,28,25,28,19,26,25,29,20,24,25,34,17,21,26,31,18,21,29,1,95,1,0,96,1,0,1,1,0,1,96,1,0,96,1,21,1,57,19,22,4,55,17,RRBS
25,6,35,32,39,4,34,21,26,4,48,21,26,16,34,22,39,3,35,21,26,3,36,33,39,3,35,21,26,3,35,34,26,16,36,21,26,15,36,21,26,3,36,33,NOMEseq
26,30,23,20,28,31,23,16,27,33,22,17,30,29,20,19,42,17,29,9,47,19,23,9,42,24,23,9,45,21,23,9,39,24,24,10,38,19,32,9,38,21,29,10,scNOME
21,27,14,37,25,28,15,30,19,31,13,36,15,31,11,41,32,14,39,13,43,22,16,16,25,39,15,19,39,27,15,17,18,38,22,20,25,17,41,15,24,24,26,23,scNOME
40,24,27,7,42,22,29,5,44,24,26,4,45,21,28,4,41,29,25,3,34,32,28,4,51,19,25,3,51,18,26,3,50,18,27,3,46,20,29,3,46,20,30,2,9N_PBAT
2,73,20,1,2,1,2,92,2,1,2,92,20,3,28,47,16,3,55,24,27,3,46,23,22,2,39,35,19,5,43,31,28,2,40,27,30,2,45,21,20,2,52,24,RRBS
25,20,27,26,28,19,25,26,29,20,24,25,33,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,22,4,53,18,RRBS
40,24,26,8,42,22,29,5,44,24,26,4,45,21,28,4,41,30,24,3,34,33,27,3,52,19,25,3,52,18,25,3,51,19,26,2,47,21,28,2,46,20,29,2,9N_PBAT
27,5,37,29,38,3,36,20,28,3,46,20,28,13,37,21,38,3,37,20,28,3,38,30,38,3,37,20,28,2,37,30,28,12,38,20,28,12,39,20,28,2,38,30,NOMEseq
2,78,18,1,2,1,1,94,1,1,1,95,18,2,33,44,16,3,54,25,28,3,46,22,25,2,37,34,19,6,42,32,30,2,38,28,32,2,44,20,22,2,49,25,RRBS
16,0,40,43,29,0,38,31,23,0,44,31,11,0,58,30,28,0,39,32,22,0,49,27,28,0,37,33,43,0,35,21,26,0,41,31,28,0,59,12,21,1,55,22,Amplicon
2,0,17,79,88,0,5,5,3,0,55,41,51,0,32,16,15,0,79,5,4,0,19,76,3,0,18,77,29,0,18,51,4,0,25,69,6,0,43,49,8,0,75,14,Amplicon
16,35,17,30,17,31,23,27,20,35,18,25,18,33,18,29,25,14,46,13,48,25,10,15,22,46,11,19,47,29,10,12,14,46,16,22,16,17,48,17,24,26,22,26,6N_sc
22,26,14,37,25,29,15,29,22,30,13,34,20,29,11,38,36,15,33,14,42,17,24,15,34,25,24,16,40,20,23,15,30,25,26,17,31,17,37,14,32,19,30,17,scNOME
20,29,19,30,22,30,20,27,21,33,19,26,23,28,19,28,32,15,36,15,45,19,19,15,31,32,20,16,43,22,19,14,26,32,21,19,27,17,37,17,30,20,26,22,6N_sc
26,6,33,34,41,4,32,21,27,4,46,21,27,17,32,22,41,3,33,21,27,4,33,34,41,3,33,21,27,3,32,35,27,16,33,22,27,16,33,21,27,3,33,35,NOMEseq
23,26,13,36,26,29,15,29,22,31,13,33,19,30,11,38,36,15,34,13,43,19,23,14,34,27,22,15,40,21,22,15,29,27,25,16,30,17,38,13,31,20,30,17,scNOME
16,0,33,50,30,0,35,34,20,0,39,40,20,0,51,28,31,0,41,27,19,0,51,29,24,0,32,43,39,0,34,26,22,0,40,37,29,0,48,21,21,1,45,31,Amplicon
